title,artist,year,genres,tags
Don't Matter (Radio Edit),Akon,2006,R&B/Soul,apple-music-catalog
I Wanna Love You (feat. Snoop Dogg) [Explicit],Akon,2006,R&B/Soul,apple-music-catalog
Temperature,Sean Paul,2005,Reggae|Rock|Hip-Hop/Rap|Hip-Hop|Rap|R&B/Soul|Modern Dancehall,apple-music-catalog
We Be Burnin' (Recognize It),Sean Paul,2005,Pop|Hip-Hop/Rap|Rock|Rap|R&B/Soul|Hip-Hop|Reggae|Modern Dancehall,apple-music-catalog
Bounce Along,Wayne Wonder,2003,Reggae,apple-music-catalog
Turnin' Me On,Nina Sky,2004,Pop|R&B/Soul|Teen Pop,apple-music-catalog
Run the Show (feat. Busta Rhymes),Kat Deluna,2007,R&B/Soul|Dance|Latin|Pop Latino|Contemporary R&B,apple-music-catalog
Pon de Replay,Rihanna,2005,Pop|Dance|Rock|Hip-Hop/Rap|Rap|R&B/Soul|Contemporary R&B,apple-music-catalog
If It's Lovin' That You Want,Rihanna,2005,Pop|Dance|Rock|R&B/Soul|Contemporary R&B|Hip-Hop/Rap|Rap,apple-music-catalog
Like This (feat. Eve),Kelly Rowland,2007,R&B/Soul,apple-music-catalog
Say It Right,Nelly Furtado,2006,Pop|Rock|Adult Alternative|Pop/Rock|R&B/Soul|Dance,apple-music-catalog
Breakdown (feat. Krayzie Bone & Wish Bone),Mariah Carey,1997,R&B/Soul|Electronic|Rock|Pop|Adult Contemporary|Easy Listening|Dance|Contemporary R&B,apple-music-catalog
Ain't It Funny,Jennifer Lopez,2001,R&B/Soul|Rock|Dance|Pop|Adult Contemporary,apple-music-catalog
So Gone,Monica,2003,R&B/Soul|Contemporary R&B,apple-music-catalog
Creep,TLC,1994,R&B/Soul|Pop|Contemporary R&B|Hip-Hop/Rap|Hip-Hop,apple-music-catalog
Mic Check (feat. Juelz Santana & Young Jeezy),Jim Jones,2005,Hip-Hop/Rap,apple-music-catalog
Let's Get Away,T.I.,2003,Rap|Hip-Hop/Rap,apple-music-catalog
Whatever You Like,T.I.,2008,Rap|Hip-Hop/Rap,apple-music-catalog
When You're Mad,Ne-Yo,2006,R&B/Soul|Contemporary R&B|Hip-Hop/Rap|Rap,apple-music-catalog
Mad,Ne-Yo,2008,R&B/Soul|Contemporary R&B,apple-music-catalog
Peaches and Cream,112,2001,R&B/Soul,apple-music-catalog
Lotus Flower Bomb (feat. Miguel),Wale,2011,Hip-Hop/Rap|Rap|Hardcore Rap|Underground Rap,apple-music-catalog
Bad (feat. Tiara Thomas),Wale,2013,Hip-Hop/Rap|Underground Rap|Rap|Hardcore Rap,apple-music-catalog
The Body (feat. Jeremih),Wale,2014,Hip-Hop/Rap,apple-music-catalog
My Last (feat. Chris Brown),Big Sean,2011,Hip-Hop/Rap|Hardcore Rap|Rap,apple-music-catalog
Beware (feat. Lil Wayne & Jhene Aiko),Big Sean,2013,Hip-Hop/Rap,apple-music-catalog
Power Trip (feat. Miguel),J. Cole,2013,Hip-Hop/Rap,apple-music-catalog
Swimming Pools (Drank) [Extended Version],Kendrick Lamar,2012,Hip-Hop/Rap,apple-music-catalog
Money Trees (feat. Jay Rock),Kendrick Lamar,2012,Hip-Hop/Rap|Gangsta Rap|Rap|Hardcore Rap|West Coast Rap,apple-music-catalog
Studio (feat. BJ the Chicago Kid),ScHoolboy Q,2014,Hip-Hop/Rap|West Coast Rap|Rap,apple-music-catalog
Collard Greens (feat. Kendrick Lamar),ScHoolboy Q,2013,Hip-Hop/Rap,apple-music-catalog
Dang! (feat. Anderson .Paak),Mac Miller,2016,Hip-Hop|Hip-Hop/Rap,apple-music-catalog
Knock Knock,Mac Miller,2010,Hip-Hop/Rap,apple-music-catalog
Erase Me (feat. Kanye West),Kid Cudi,2010,Hip-Hop/Rap,apple-music-catalog
Find Your Love,Drake,2010,Hip-Hop/Rap|Rap|Hardcore Rap|R&B/Soul|Rock|Contemporary R&B,apple-music-catalog
"Hold On, We're Going Home (feat. Majid Jordan)",Drake,2013,Hip-Hop/Rap|R&B/Soul|Contemporary R&B|Hardcore Rap|Rap,apple-music-catalog
Too Good (feat. Rihanna),Drake,2016,Hip-Hop/Rap,apple-music-catalog
What's My Name? (feat. Drake),Rihanna,2010,Pop|Rock|R&B/Soul|Contemporary R&B|Dance|Soul,apple-music-catalog
Party (feat. André 3000),Beyoncé,2011,Pop,apple-music-catalog
Sure Thing,Miguel,2010,R&B/Soul|Dance|Contemporary R&B,apple-music-catalog
Adorn,Miguel,2012,R&B/Soul|Alternative,apple-music-catalog
Thinkin Bout You,Frank Ocean,2012,Pop,apple-music-catalog
Oui,Jeremih,2015,R&B/Soul,apple-music-catalog
Or Nah (feat. Wiz Khalifa & DJ Mustard),Ty Dolla $ign,2014,Hip-Hop/Rap|Rap|R&B/Soul|Contemporary R&B|West Coast Rap,apple-music-catalog
Paranoid (feat. B.o.B),Ty Dolla $ign,2013,Hip-Hop/Rap|Rap|R&B/Soul|West Coast Rap|Contemporary R&B,apple-music-catalog
Who Do You Love? (feat. Drake),YG,2014,Hip-Hop/Rap,apple-music-catalog
All Eyes On You (feat. Chris Brown & Nicki Minaj),Meek Mill,2015,Hip-Hop/Rap,apple-music-catalog
Amen (feat. Drake),Meek Mill,2012,Hip-Hop/Rap|Hardcore Rap|Rap,apple-music-catalog
Turn On The Lights,Future,2012,Hip-Hop/Rap,apple-music-catalog
Honest,Future,2013,Hip-Hop/Rap|Dirty South|Hardcore Rap|Rap,apple-music-catalog
Low Life (feat. The Weeknd),Future,2016,Hip-Hop/Rap,apple-music-catalog
L$D,A$AP Rocky,2015,Hip-Hop/Rap,apple-music-catalog
Often,The Weeknd,2014,R&B/Soul,apple-music-catalog
Come and See Me (feat. Drake),PARTYNEXTDOOR,2016,R&B/Soul,apple-music-catalog
Luv,Tory Lanez,2016,R&B/Soul,apple-music-catalog
Don't,Bryson Tiller,2015,R&B/Soul,apple-music-catalog
How to Love,Lil Wayne,2011,Hip-Hop/Rap|Dirty South|Rap|R&B/Soul|Hardcore Rap,apple-music-catalog
Right By My Side (feat. Chris Brown),Nicki Minaj,2012,Hip-Hop/Rap|Rap|Rock|R&B/Soul|Contemporary R&B,apple-music-catalog
Body Party (Remix) [feat. Future & B.o.B],Ciara,2013,R&B/Soul,apple-music-catalog
5 O'Clock (feat. Lily Allen & Wiz Khalifa),T-Pain,2011,Hip-Hop/Rap,apple-music-catalog
Show Me (feat. Chris Brown),Kid Ink,2013,Hip-Hop/Rap|Rap|West Coast Rap,apple-music-catalog
2 On (feat. ScHoolboy Q),Tinashe,2014,R&B/Soul,apple-music-catalog
I Luv This Shit (feat. Trinidad James),August Alsina,2013,R&B/Soul|Hip-Hop/Rap|Rap|Contemporary R&B,apple-music-catalog
Comfortable,K CAMP,2015,Hip-Hop/Rap,apple-music-catalog
679 (feat. Monty),Fetty Wap,2015,Hip-Hop/Rap,apple-music-catalog
No Type,Rae Sremmurd,2014,Hip-Hop/Rap,apple-music-catalog
Come Get Her,Rae Sremmurd,2015,Hip-Hop/Rap,apple-music-catalog
White Iverson,Post Malone,2015,Hip-Hop/Rap,apple-music-catalog
Money Longer,Lil Uzi Vert,2016,Hip-Hop/Rap,apple-music-catalog
Broccoli (feat. Lil Yachty),DRAM,2016,Hip-Hop/Rap,apple-music-catalog
No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,2016,Hip-Hop/Rap|Christian|Christian Rap|Alternative Rap|Rap|Underground Rap,apple-music-catalog
3005,Childish Gambino,2013,Hip-Hop/Rap,apple-music-catalog
Redbone,Childish Gambino,2016,Hip-Hop/Rap,apple-music-catalog
Under Pressure,Logic,2014,Hip-Hop/Rap,apple-music-catalog
"Me, Myself & I",G-Eazy x Bebe Rexha,2015,Hip-Hop/Rap,apple-music-catalog
2 Phones,Kevin Gates,2015,Hip-Hop/Rap,apple-music-catalog
Really Really,Kevin Gates,2015,Hip-Hop/Rap,apple-music-catalog
Best Friend,Young Thug,2015,Hip-Hop|Hip-Hop/Rap,apple-music-catalog
Type of Way,Rich Homie Quan,2013,Hip-Hop/Rap|Rap,apple-music-catalog
Try Me,DeJ Loaf,2014,Hip-Hop/Rap,apple-music-catalog
Selfish,PnB Rock,2016,Hip-Hop/Rap,apple-music-catalog
Handsome And Wealthy,Migos,2014,Hip-Hop/Rap,apple-music-catalog
Bandz A Make Her Dance (feat. Lil Wayne & 2 Chainz),Juicy J,2012,Rap|Hip-Hop/Rap,apple-music-catalog
Roll Up,Wiz Khalifa,2011,Hip-Hop/Rap|Rap|Hardcore Rap|East Coast Rap,apple-music-catalog
Nothin' On You (feat. Bruno Mars),B.o.B,2009,Hip-Hop/Rap|Rap|Dirty South|Hardcore Rap|Alternative Rap|Rock,apple-music-catalog
"My S**t",A Boogie wit da Hoodie,2016,Hip-Hop/Rap,apple-music-catalog
