title,artist,year,genres,tags,feedback
Stand Up,Ludacris,,,,star
N 2 Gether Now,Limp Bizkit,,,,star
No Scrubs,TLC,,,,star
Been Around the World,Puff Daddy & The Family,,,,star
Get Ready,Blackstreet & Mase,,,,star
Feel Good Inc.,Gorillaz & De La Soul,,,,star
p r i d e . i s . t h e . d e v i l,J. Cole & Lil Baby,,,,star
Move Ya Body,Nina Sky,,,,star
Wait a Minute,CamDaGuapo,,,,star
Str8 Ballin,ScHoolboy Q,,,,star
You Owe Me,Nas,,,,star
Gees,Mac Miller,,,,star
Give It to Me,Timbaland,,,,star
The Way I Are,Timbaland,,,,star
SKREETS,HEWGOE,,,,star
I Know,Yo Gotti,,,,star
Get Stupid,Mac Dre,,,,star
Hands On the Wheel,ScHoolboy Q,,,,star
This Is What You Came For,Calvin Harris & Rihanna,,,,star
No Flockin,Kodak Black,,,,star
Rich As F**k,Lil Wayne,,,,star
Sosa,AZ,,,,star
Ooh Ahh (My Life Be Like),Grits,,,,star
Havana,Camila Cabello,,,,star
My Oh My,Camila Cabello,,,,star
Grillz,Nelly,,,,star
The Loser Wins,"Atmosphere, Slug & Ant",,,,star
Get Back,Ludacris,,,,star
762's,HEWGOE,,,,star
Sorry Not Sorry,Bryson Tiller,,,,star
